month,revenue,expenses,net_profit,notes
January 2026,125000,88000,37000,Slow start to Q1
February 2026,131000,91500,39500,Valentine campaign performed well
March 2026,148000,97000,51000,Q1 close strong - record month
April 2026,142000,98000,44000,Post-quarter normalization
May 2026,138500,102000,36500,Marketing spend increased for summer push
June 2026,155000,99500,55500,New product launch drove revenue spike
July 2026,161000,103000,58000,Summer peak season
August 2026,158500,101500,57000,Sustained summer performance
September 2026,147000,99000,48000,Back to school campaign
October 2026,152000,100500,51500,Pre-holiday inventory build
November 2026,189000,115000,74000,Black Friday and Cyber Monday
December 2026,201000,118000,83000,Holiday season record revenue
